employee_id,rank,location,nationality,manager,department,grade_level,contract_type,flight_type,performance_flag,tenure_years,engage_sentiment_score,absence_days_past_6_months,engage_sentiment,nps_valid_from,sentiment_valid_from,crewnps
8b61ee96-3a95-49a9-aa5c-68652b8059e1,Cabin Crew,Riyadh,CANADA,Manager 19,Training,G3,Part-time,Short-haul,High Performer,5.1,1.65,4,unfavorable,2023-08-15,2024-04-24,30.0
8b61ee96-3a95-49a9-aa5c-68652b8059e1,Cabin Crew,Dammam,INDIA,Manager 18,Training,G3,Part-time,Mixed,Meets Expectations,0.8,4.54,5,favorable,2023-04-20,2023-05-14,57.78
8b61ee96-3a95-49a9-aa5c-68652b8059e1,Cabin Crew,Dammam,UK,Manager 4,Operations,G3,Contract,Short-haul,Meets Expectations,1.6,4.45,6,favorable,2023-05-20,2023-09-16,42.66
8b61ee96-3a95-49a9-aa5c-68652b8059e1,Cabin Manager,Abu Dhabi,USA,Manager 8,Operations,G2,Part-time,Mixed,Meets Expectations,0.3,2.81,2,neutral,2024-05-08,2024-03-26,41.83
87f8e17b-9ca5-4472-89d6-23b99e051339,Cabin Crew,Dammam,UAE,Manager 16,Training,G1,Contract,Long-haul,Low Performer,1.0,2.99,3,neutral,2024-05-30,2023-04-08,30.0
87f8e17b-9ca5-4472-89d6-23b99e051339,Cabin Crew,Riyadh,INDIA,Manager 19,Training,G3,Part-time,Short-haul,Meets Expectations,3.3,2.21,1,unfavorable,2023-05-21,2023-11-20,30.0
87f8e17b-9ca5-4472-89d6-23b99e051339,Cabin Manager,Riyadh,PHILIPPINES,Manager 20,Training,G2,Contract,Long-haul,High Performer,2.1,4.99,4,favorable,2024-07-01,2023-07-19,61.09
87f8e17b-9ca5-4472-89d6-23b99e051339,Cabin Manager,Dammam,USA,Manager 3,Training,G3,Contract,Mixed,Meets Expectations,1.1,3.68,3,favorable,2023-04-14,2023-10-28,44.48
87f8e17b-9ca5-4472-89d6-23b99e051339,Cabin Manager,Abu Dhabi,CANADA,Manager 10,Ground Services,G2,Part-time,Short-haul,Meets Expectations,0.8,4.81,0,favorable,2023-07-17,2023-04-25,74.28
248ab3b3-5878-431c-a044-a6261de9d9a8,Cabin Manager,Dammam,PHILIPPINES,Manager 2,Operations,G3,Part-time,Mixed,Meets Expectations,5.3,2.66,4,neutral,2024-05-20,2023-08-29,30.0
248ab3b3-5878-431c-a044-a6261de9d9a8,Cabin Crew,Jeddah,INDIA,Manager 4,Training,G1,Part-time,Short-haul,High Performer,4.1,4.53,2,favorable,2024-09-21,2023-10-23,61.0
2ab96845-e20c-4c7d-887c-c59f525b1ee7,Cabin Crew,Jeddah,INDIA,Manager 6,Training,G3,Part-time,Mixed,Meets Expectations,9.2,2.79,3,neutral,2023-10-04,2024-05-07,38.47
2ab96845-e20c-4c7d-887c-c59f525b1ee7,Cabin Manager,Jeddah,CANADA,Manager 11,Ground Services,G1,Full-time,Long-haul,Meets Expectations,1.0,4.47,1,favorable,2024-10-09,2023-11-11,60.78
2ab96845-e20c-4c7d-887c-c59f525b1ee7,Cabin Manager,Dammam,UAE,Manager 14,Inflight,G3,Full-time,Long-haul,Meets Expectations,9.4,1.52,3,unfavorable,2024-01-11,2024-01-15,30.0
2ab96845-e20c-4c7d-887c-c59f525b1ee7,Cabin Crew,Dammam,CANADA,Manager 16,Training,G3,Contract,Mixed,High Performer,4.3,3.55,0,favorable,2024-06-30,2023-06-25,49.39
25a67f2b-8601-4701-be08-37f39191944a,Cabin Crew,Dammam,UK,Manager 19,Ground Services,G3,Contract,Long-haul,High Performer,1.5,3.71,2,favorable,2023-10-02,2023-09-27,55.27
25a67f2b-8601-4701-be08-37f39191944a,Cabin Crew,Jeddah,PHILIPPINES,Manager 2,Ground Services,G2,Full-time,Long-haul,High Performer,1.6,3.62,1,favorable,2023-09-08,2024-08-27,62.08
25a67f2b-8601-4701-be08-37f39191944a,Cabin Manager,Abu Dhabi,UAE,Manager 17,Inflight,G2,Contract,Mixed,High Performer,2.5,2.79,3,neutral,2024-10-12,2024-10-09,33.47
25a67f2b-8601-4701-be08-37f39191944a,Flight Manager,Riyadh,USA,Manager 9,Operations,G1,Part-time,Short-haul,Meets Expectations,3.1,3.74,2,favorable,2023-07-29,2023-06-30,61.36
f8c507b4-dea3-4fd4-b640-930c3658da35,Cabin Crew,Dammam,UK,Manager 17,Operations,G1,Contract,Mixed,Low Performer,0.4,1.96,3,unfavorable,2024-07-24,2024-07-07,30.0
f8c507b4-dea3-4fd4-b640-930c3658da35,Cabin Crew,Abu Dhabi,UAE,Manager 15,Operations,G2,Contract,Short-haul,Meets Expectations,9.2,3.38,3,neutral,2024-03-09,2023-08-31,53.41
f8c507b4-dea3-4fd4-b640-930c3658da35,Cabin Crew,Riyadh,PHILIPPINES,Manager 7,Training,G1,Contract,Long-haul,Meets Expectations,0.6,3.22,1,neutral,2024-07-07,2024-02-26,53.59
f8c507b4-dea3-4fd4-b640-930c3658da35,Flight Manager,Riyadh,INDIA,Manager 19,Operations,G1,Full-time,Long-haul,Meets Expectations,3.3,2.27,5,unfavorable,2024-09-30,2023-09-12,30.0
f8c507b4-dea3-4fd4-b640-930c3658da35,Cabin Manager,Riyadh,USA,Manager 3,Training,G2,Full-time,Long-haul,High Performer,2.4,4.12,1,favorable,2024-11-17,2023-11-23,63.87
d801e2bc-ab0a-444f-b758-01e59ffe35dd,Cabin Manager,Abu Dhabi,CANADA,Manager 1,Training,G2,Contract,Long-haul,Meets Expectations,3.6,1.32,1,unfavorable,2023-04-02,2023-11-25,30.0
d801e2bc-ab0a-444f-b758-01e59ffe35dd,Cabin Crew,Abu Dhabi,PHILIPPINES,Manager 4,Ground Services,G2,Part-time,Long-haul,Meets Expectations,10.9,1.69,1,unfavorable,2024-06-22,2024-08-16,30.0
50e1b186-a449-40d5-a53a-22d1552e66ee,Cabin Crew,Jeddah,UK,Manager 18,Operations,G2,Contract,Short-haul,High Performer,22.6,2.88,2,neutral,2023-12-29,2023-07-23,53.52
50e1b186-a449-40d5-a53a-22d1552e66ee,Cabin Crew,Abu Dhabi,UK,Manager 8,Operations,G3,Full-time,Short-haul,Meets Expectations,0.1,4.57,0,favorable,2024-10-13,2024-03-07,60.61
2e0de7ad-5e1f-437f-b160-57de2a340b60,Cabin Crew,Abu Dhabi,INDIA,Manager 19,Operations,G2,Part-time,Short-haul,Meets Expectations,2.5,3.3,1,neutral,2024-04-20,2023-07-09,36.31
2e0de7ad-5e1f-437f-b160-57de2a340b60,Cabin Manager,Abu Dhabi,INDIA,Manager 6,Training,G1,Contract,Mixed,Meets Expectations,8.5,4.37,3,favorable,2024-09-24,2024-10-28,59.31
2e0de7ad-5e1f-437f-b160-57de2a340b60,Cabin Manager,Riyadh,USA,Manager 1,Training,G3,Full-time,Long-haul,Meets Expectations,2.0,3.07,2,neutral,2024-05-13,2024-03-10,45.36
2e0de7ad-5e1f-437f-b160-57de2a340b60,Flight Manager,Dammam,CANADA,Manager 8,Operations,G3,Part-time,Long-haul,High Performer,5.2,4.14,2,favorable,2024-12-15,2024-01-14,78.7
